baseline_test,np4_test,baseline_status,baseline_time_s,np4_status,np4_time_s,delta_s,ratio_np4_over_np1,np4_failure_reason
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e5-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e5-mpirun-np4-vtkdiff,PASS,0.114307,FAIL,0.065685,-0.048622,0.574639,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_2e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_2e4-mpirun-np4,PASS,0.601254,FAIL,0.172939,-0.428315,0.287631,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_2e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_2e4-mpirun-np4-vtkdiff,PASS,0.043093,FAIL,0.033233,-0.009860,0.771193,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_3e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_3e4-mpirun-np4,PASS,0.732756,FAIL,0.176549,-0.556207,0.240938,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_3e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_3e4-mpirun-np4-vtkdiff,PASS,0.051875,FAIL,0.034559,-0.017315,0.666207,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_4e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_4e4-mpirun-np4,PASS,0.991527,FAIL,0.169933,-0.821594,0.171385,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_4e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_4e4-mpirun-np4-vtkdiff,PASS,0.060110,FAIL,0.039035,-0.021074,0.649401,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_5e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_5e4-mpirun-np4,PASS,1.275520,FAIL,0.156534,-1.118986,0.122722,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_5e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_5e4-mpirun-np4-vtkdiff,PASS,0.070384,FAIL,0.046516,-0.023868,0.660892,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_line_1_1e1-mpirun,ogs-SteadyStateDiffusion_line_1_1e1-mpirun-np4,PASS,0.138739,FAIL,0.169178,0.030439,1.219398,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_line_1_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_line_1_1e1-mpirun-np4-vtkdiff,PASS,0.023224,FAIL,0.020407,-0.002817,0.878700,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_line_1_Neumann_1e1-mpirun,ogs-SteadyStateDiffusion_line_1_Neumann_1e1-mpirun-np4,PASS,0.142301,FAIL,0.175031,0.032730,1.230005,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_line_1_Neumann_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_line_1_Neumann_1e1-mpirun-np4-vtkdiff,PASS,0.021875,FAIL,0.028284,0.006408,1.292946,missing np4 result file for vtkdiff
